task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,20329,209,8.129638910293579
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,19886,238,7.189585208892822
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,28466,372,9.22524094581604
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,22269,306,7.672821044921875
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,22850,288,7.508376836776733
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1,1.0,1.0,1.0,22740,896,11.023782968521118
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,1,1.0,1.0,1.0,21119,259,8.303017139434814
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,20524,304,8.819561004638672
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,20037,257,7.281540155410767
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,22323,287,9.714374303817749
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,1,1.0,1.0,1.0,22486,288,6.031923055648804
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1,1.0,1.0,1.0,22116,366,11.197855949401855
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task1,0,0.6666666666666666,1.0,0.8,20448,261,8.277842283248901
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task2,0,0.25,0.75,0.375,29981,671,9.398633003234863
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task3,1,1.0,1.0,1.0,21515,244,8.959712982177734
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task4,0,0.3333333333333333,1.0,0.5,22388,405,9.279659032821655
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task5,1,1.0,1.0,1.0,22171,236,6.471631050109863
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task6,1,1.0,1.0,1.0,22741,308,7.121457815170288
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task7,1,1.0,1.0,1.0,21964,237,5.429483890533447
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task8,1,1.0,1.0,1.0,22025,293,6.089411735534668
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task9,1,1.0,1.0,1.0,21146,289,6.710755825042725
Webmall_Cheapest_Product_Search,Webmall_Cheapest_Product_Search_Task10,0,0.3333333333333333,1.0,0.5,21607,322,7.614954948425293
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task1,1,1.0,1.0,1.0,19863,226,7.951330900192261
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,19745,324,6.976594924926758
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,26046,305,6.944200277328491
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task4,0,0.6470588235294118,1.0,0.7857142857142858,26691,1269,19.697277069091797
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,22695,407,12.181390047073364
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task6,0,0.16666666666666666,1.0,0.2857142857142857,22407,530,14.602863788604736
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task7,1,1.0,1.0,1.0,21843,303,9.222498655319214
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task8,0,1.0,0.25,0.4,31474,325,12.7930588722229
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task9,0,0.6666666666666666,1.0,0.8,29242,288,8.491182804107666
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task10,0,0.6666666666666666,1.0,0.8,34401,374,9.226087808609009
Webmall_Best_Fit_Specific,Webmall_Best_Fit_Specific_Task11,0,0.11538461538461539,0.5,0.1875,26909,1483,22.928884029388428
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task1,1,1.0,1.0,1.0,21790,363,10.561500787734985
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task2,0,0.5,1.0,0.6666666666666666,25664,890,18.56660795211792
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task3,0,0.0,0.0,0.0,48724,461,12.643282175064087
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task4,0,1.0,0.7777777777777778,0.8750000000000001,26893,646,12.273508787155151
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task5,1,1.0,1.0,1.0,31129,396,9.14414381980896
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task6,0,0.0,0.0,0.0,22340,271,15.201946020126343
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task7,0,0.6666666666666666,1.0,0.8,21149,512,14.037979125976562
Webmall_Best_Fit_Vague,Webmall_Best_Fit_Vague_Task8,0,0.1,0.75,0.17647058823529416,25274,1332,18.229732990264893
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task1,0,0.0,0.0,0.0,29130,231,7.246813774108887
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task2,1,1.0,1.0,1.0,46038,321,13.103080034255981
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task3,1,1.0,1.0,1.0,31226,225,7.908917188644409
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task4,0,0.25,1.0,0.4,31369,335,8.421260118484497
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task5,1,1.0,1.0,1.0,31038,200,8.05557894706726
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task6,0,0.0,0.0,0.0,31069,178,5.750463008880615
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task7,0,0.5,1.0,0.6666666666666666,31910,246,8.213272094726562
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0,0.0,0.0,0.0,30029,302,7.5707173347473145
