task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task1,1,1.0,1.0,1.0,45150,413
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task2,1,1.0,1.0,1.0,41031,393
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task3,1,1.0,1.0,1.0,31823,494
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task4,1,1.0,1.0,1.0,33656,507
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task5,1,1.0,1.0,1.0,30724,416
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task6,1,1.0,1.0,1.0,36627,1199
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task7,0,0.5,1.0,0.6666666666666666,38946,532
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task8,1,1.0,1.0,1.0,40154,522
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task9,1,1.0,1.0,1.0,30882,394
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task10,1,1.0,1.0,1.0,40926,413
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task11,0,1.0,0.5,0.6666666666666666,36871,408
Webmall_Single_Product_Search,Webmall_Single_Product_Search_Task12,1,1.0,1.0,1.0,37631,522
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,1,1.0,1.0,1.0,69043,707
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1,1.0,1.0,1.0,80058,647
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,1,1.0,1.0,1.0,67842,703
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1,1.0,1.0,1.0,96203,638
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,0,0.5,1.0,0.6666666666666666,72901,695
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1,1.0,1.0,1.0,75583,616
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,1,1.0,1.0,1.0,67864,734
Webmall_Checkout,Webmall_Checkout_Task1,1,1.0,1.0,1.0,19468,630
Webmall_Checkout,Webmall_Checkout_Task2,1,1.0,1.0,1.0,20401,657
Webmall_Checkout,Webmall_Checkout_Task3,1,1.0,1.0,1.0,21086,635
Webmall_Checkout,Webmall_Checkout_Task4,1,1.0,1.0,1.0,20803,692
Webmall_Checkout,Webmall_Checkout_Task5,1,1.0,1.0,1.0,19955,638
Webmall_Checkout,Webmall_Checkout_Task6,1,1.0,1.0,1.0,20151,655
Webmall_Checkout,Webmall_Checkout_Task7,1,1.0,1.0,1.0,20392,677
Webmall_Checkout,Webmall_Checkout_Task8,1,1.0,1.0,1.0,20717,711
Webmall_EndToEnd,Webmall_EndToEnd_Task1,1,1.0,1.0,1.0,110914,897
Webmall_EndToEnd,Webmall_EndToEnd_Task2,1,1.0,1.0,1.0,117746,873
Webmall_EndToEnd,Webmall_EndToEnd_Task3,1,1.0,1.0,1.0,104048,952
Webmall_EndToEnd,Webmall_EndToEnd_Task4,1,1.0,1.0,1.0,108021,819
Webmall_EndToEnd,Webmall_EndToEnd_Task5,1,1.0,1.0,1.0,94565,1038
Webmall_EndToEnd,Webmall_EndToEnd_Task6,1,1.0,1.0,1.0,87135,857
Webmall_EndToEnd,Webmall_EndToEnd_Task7,0,0.5,0.5,0.5,269362,1873
Webmall_EndToEnd,Webmall_EndToEnd_Task8,0,0.5,0.5,0.5,361361,1753
